station_id,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1917,1918,1919,1920
029070-99999,30.458447488584476,3.853345554537122,30.67837338262477,20.666362807657247,22.95325389550871,,,,,,,,,,,,,,
029170-99999,,,,,,40.05936073059361,23.46392694063927,28.946216955332726,31.178244972577698,41.489497716894974,35.25345622119816,23.783242258652095,36.85966542750929,38.423744292237444,7.16819012797075,,,,
029440-99999,,,,,,52.61369863013699,36.24885635864593,42.31751824817518,40.59963436928702,53.286106032906766,48.16438356164384,37.70309653916211,50.48584474885845,53.367123287671234,18.208600182982618,,,,
029500-99999,48.772602739726025,24.930593607305937,51.00821917808219,33.71194165907019,45.446069469835464,,,,,,,,,,,,,,
029600-99999,45.6337899543379,22.561643835616437,50.80730593607306,31.12397447584321,45.120768526989934,,,,,,,,,,,,,,
029700-99999,,,,,,,,,,,,,,,,49.07044830741079,57.68921389396709,51.974429223744295,51.638251366120215
029720-99999,60.63919413919414,35.08858447488584,61.95525114155251,43.77049180327869,56.146386093321134,,,,,,,,,,,,,,
029810-99999,64.89021043000915,42.470749542961606,61.5918173168411,51.06648451730419,60.789954337899545,,,,,,,,,,,,,,
029820-99999,,,,,,62.36529680365297,46.251612903225805,49.68032786885246,51.26508226691042,67.87247706422018,60.4648401826484,51.1183970856102,64.39213893967093,60.58082191780822,34.42961608775137,,,,
